Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre,Expérience numérique
Aramex lance un recrutement en logistique à Casablanca,Non spécifié,Casablanca,Logistique,CDI,Non spécifié,1 à 3 ans,Excel,Non spécifié,"Adaptabilité, Communication, Organisation, Relationnel, Rigueur, Réactivité, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/aramex-lance-un-recrutement-en-logistique-a-casablanca/,2.0
Proma Industries recrute des stagiaires en Qualité à Kénitra,Proma Industries,Kénitra,Automobile,Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/stage/proma-industries-recrute-des-stagiaires-en-qualite-a-kenitra/,
Opportunités d’emploi chez Sanipak à Berrechid,Non spécifié,Berrechid,Chimie,CDI,Bac+2,2 ans,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-demploi-chez-sanipak-a-berrechid/,2.0
Nouveaux postes ouverts chez Cooper Pharma,Non spécifié,Tanger,Pharmaceutique,Non spécifié,Bac+5,3 ans,Modélisation,Non spécifié,"Communication, Leadership, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/nouveaux-postes-ouverts-chez-cooper-pharma/,3.0
Aeolon ouvre 3 opportunités à Nador,Aeolon,Nador,Non spécifié,Non spécifié,Bac+3,2 ans,Excel,Anglais,"Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/aeolon-ouvre-3-opportunites-a-nador/,2.0
SICDA recrute des techniciens contrôle qualité à Berrechid,SICDA,Berrechid,"Chimie, Construction, Procédés",Non spécifié,Bac+2,2 à 4 ans,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/sicda-recrute-des-techniciens-controle-qualite-a-berrechid/,3.0
Postes techniques à pourvoir chez NOVAERUM AUTOMOTIVE à Tanger,Non spécifié,Tanger,"Automobile, Plasturgie, Procédés",Non spécifié,Bac+2,2 à 5 ans,Automatisme,Non spécifié,"Autonomie, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/postes-techniques-a-pourvoir-chez-novaerum-automotive-a-tanger/,3.5
Recrutement en France: PROMAN cherche des agents de fabrication,Recrutement en France: PROMAN,Non spécifié,Automobile,Intérim,Non spécifié,1 an,Non spécifié,Français,Rigueur,https://www.dreamjob.ma/emploi-international/recrutement-en-france-proman-cherche-des-agents-de-fabrication/,1.0
Ingelec recrute des Agents Atelier Fabrication Mécanique,Ingelec,Casablanca,Énergie,Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,"Créativité, Innovation",https://www.dreamjob.ma/emploi/ingelec-recrute-agents-atelier-fabrication-mecanique/,2.0
Somafaco recrute des Contrôleurs de Gestion Débutants,Somafaco,Casablanca,Agroalimentaire,CDI,Bac+5,Non spécifié,Excel,Français,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/somafaco-recrute-des-controleurs-de-gestion-debutants/,
26 postes ouverts via l’ANAPEC à Marrakech et M’diq,Non spécifié,Marrakech,Non spécifié,CDI,Non spécifié,1 an,Excel,"Français, Anglais","Autonomie, Rigueur",https://www.dreamjob.ma/emploi/26-postes-ouverts-via-lanapec-a-marrakech-et-mdiq/,1.0
"Offres d’emploi Michoc à Casablanca, postulez maintenant",Non spécifié,Casablanca,"Agroalimentaire, Plasturgie, Procédés",CDI,Bac+2,3 à 5 ans,Non spécifié,"Français, Anglais, Arabe","Autonomie, Communication, Créativité, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-michoc-a-casablanca-postulez-maintenant/,4.0
3 opportunités à saisir chez Sun Pharma à Bouskoura,Non spécifié,Bouskoura,"Chimie, Pharmaceutique, Procédés",CDI,Bac+3,2 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/3-opportunites-a-saisir-chez-sun-pharma-a-bouskoura/,2.0
5 opportunités à saisir chez Maghreb Steel dès maintenant,Non spécifié,Casablanca,"Chimie, Métallurgie, Procédés",Non spécifié,Bac+2,4 à 10 ans,"AMDEC, CAO, DAO, Modélisation, Ms project",Non spécifié,"Autonomie, Communication, Initiative, Innovation, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/5-opportunites-a-saisir-chez-maghreb-steel-des-maintenant/,7.0
Airbus Atlantic Maroc recrute 3 profils à Nouaceur,Airbus Atlantic Maroc,Casablanca,"Automobile, Aéronautique",Non spécifié,Bac+3,5 ans,"5S, Lean, Lean manufacturing",Non spécifié,"Autonomie, Initiative, Innovation, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/airbus-atlantic-maroc-recrute-3-profils-a-nouaceur/,5.0
Offres d’emploi chez Swissport: 3 postes à Casablanca,Non spécifié,Casablanca,Logistique,Non spécifié,Non spécifié,1 à 2 ans,"ERP, Excel, SAP",Anglais,"Autonomie, Communication, Organisation, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/offres-demploi-chez-swissport-3-postes-a-casablanca/,1.5
Sentury Tire propose 4 postes à Tanger dès maintenant,Non spécifié,Tanger,"Automobile, Logistique",CDI,Non spécifié,1 an,Excel,"Français, Anglais","Communication, Innovation, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/sentury-tire-propose-4-postes-a-tanger-des-maintenant/,1.0
Gotion Power Morocco ouvre de nouveaux postes à Kénitra,Gotion Power Morocco,Kénitra,"Chimie, Procédés, Énergie",Non spécifié,Bac+3,Non spécifié,Non spécifié,Anglais,"Communication, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/gotion-power-morocco-ouvre-de-nouveaux-postes-a-kenitra/,
Offres d’emploi chez COFICAB à Tanger,Non spécifié,Tanger,"Automobile, Procédés",Non spécifié,Bac+2,0 à 2 ans,"APQP, SPC","Français, Anglais","Communication, Gestion de projet, Résolution de problèmes",https://www.dreamjob.ma/emploi/offres-demploi-chez-coficab-a-tanger/,1.0
NOVOPHARMA recrute des Délégués Médicaux dans la région Rabat-Nord,NOVOPHARMA,Rabat,Pharmaceutique,Non spécifié,Bac+3,1 an,Non spécifié,Non spécifié,"Communication, Initiative, Innovation, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/novopharma-recrute-des-delegues-medicaux-dans-la-region-rabat-nord/,1.0
L’ANAPEC Dakhla organise un Job Day avec plus de 50 postes à pourvoir,Non spécifié,Dakhla,Logistique,CDI,Bac+2,Non spécifié,Excel,"Français, Arabe","Créativité, Leadership, Organisation, Organisation, Rigueur",https://www.dreamjob.ma/journees-de-recrutement/lanapec-dakhla-organise-un-job-day-avec-plus-de-50-postes-a-pourvoir/,
"Recrutement: Esthéticienne, Ingénieur Cosmétique, Technicien VRD, Ingénieur Etudes Déchets Solides",Non spécifié,Marrakech,"Chimie, Procédés",Non spécifié,Bac+5,2 à 5 ans,"Autocad, CAO, DAO, Excel, Modélisation",Non spécifié,"Autonomie, Communication, Créativité, Initiative, Innovation, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-estheticienne-ingenieur-cosmetique-technicien-vrd-ingenieur-etudes-dechets-solides/,3.5
COFICAB ouvre des postes de manager à Tanger,COFICAB,Tanger,"Automobile, Logistique",CDI,Non spécifié,5 ans,Non spécifié,"Français, Anglais","Communication, Innovation, Leadership",https://www.dreamjob.ma/emploi/coficab-ouvre-des-postes-de-manager-a-tanger/,5.0
Structural Aerospace Morocco ouvre plusieurs postes en intérim,Structural Aerospace Morocco,Nouaceur,"Aéronautique, Construction",Intérim,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/structural-aerospace-morocco-ouvre-plusieurs-postes-en-interim/,
17 postes ouverts chez COFAT Morocco à Kénitra,Non spécifié,Kénitra,"Automobile, Logistique",Stage,Bac+2,Non spécifié,"5S, AMDEC, ERP, Excel",Anglais,"Communication, Gestion de projet, Leadership, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/17-postes-ouverts-chez-cofat-morocco-a-kenitra/,
10 postes ouverts chez HellermannTyton à Tanger,Non spécifié,Tanger,"Automobile, Logistique, Plasturgie, Procédés",CDI,Bac+2,5 ans,"AMDEC, APQP, Autocad, CATIA, ERP, Excel, PPAP, SAP","Français, Anglais, Arabe","Communication, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/10-postes-ouverts-chez-hellermanntyton-a-tanger/,5.0
COFAT Maroc ouvre des recrutements en industrie automobile,COFAT Maroc,Kénitra,Automobile,Non spécifié,Bac+2,Non spécifié,"5S, Kaizen, Lean, Lean manufacturing",Non spécifié,"Communication, Leadership, Organisation, Relationnel, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/cofat-maroc-ouvre-des-recrutements-en-industrie-automobile/,
Ventec recrute de nouveaux profils à Casablanca,Ventec,Casablanca,Logistique,CDI,Bac+5,3 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/ventec-recrute-de-nouveaux-profils-a-casablanca/,3.0
Suprajit Morocco recrute des stagiaires dans plusieurs départements,Suprajit Morocco,Non spécifié,Logistique,Stage,Bac+2,Non spécifié,Excel,"Français, Anglais","Organisation, Rigueur",https://www.dreamjob.ma/stage/suprajit-morocco-recrute-des-stagiaires-dans-plusieurs-departements/,
Offres d’emploi chez Sun Pharma dans l’industrie pharmaceutique,Non spécifié,Non spécifié,"Logistique, Pharmaceutique",Non spécifié,Bac+3,3 ans,"Excel, Modélisation","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-sun-pharma-dans-lindustrie-pharmaceutique/,3.0
Danone ouvre 4 opportunités à Casablanca et Salé,Danone,Casablanca,Agroalimentaire,Non spécifié,Bac+5,3 ans,"ERP, Excel, Lean","Français, Anglais","Autonomie, Autonomie, Communication, Force de proposition, Gestion de projet, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/danone-ouvre-4-opportunites-a-casablanca-et-sale/,3.0
Dislog Healthcare lance un recrutement à Casablanca et Tanger,Non spécifié,Casablanca,"Logistique, Pharmaceutique",CDI,Non spécifié,2 ans,ERP,Non spécifié,"Autonomie, Communication, Flexibilité, Organisation",https://www.dreamjob.ma/emploi/dislog-healthcare-lance-un-recrutement-a-casablanca-et-tanger/,2.0
Stage et emploi à saisir chez Suprajit Morocco à Tanger,Non spécifié,Tanger,Logistique,Stage,Bac+2,Non spécifié,"Excel, SAP",Non spécifié,"Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/stage-et-emploi-a-saisir-chez-suprajit-morocco-a-tanger/,
Nouvelles opportunités chez Sanipak à Berrechid,Non spécifié,Berrechid,Non spécifié,CDI,Bac+5,3 ans,Non spécifié,Français,"Organisation, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-sanipak-a-berrechid/,3.0
COBCO ouvre de nouveaux recrutements industriels au Maroc,COBCO,Jorf lasfar,"Chimie, Construction",Non spécifié,Bac+3,5 ans,Excel,Anglais,"Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/cobco-ouvre-de-nouveaux-recrutements-industriels-au-maroc/,5.0
Sentury Tire recrute de nouveaux profils à Tanger,Sentury Tire,Tanger,Automobile,CDI,Bac+3,Non spécifié,Non spécifié,"Français, Anglais","Autonomie, Autonomie, Communication, Innovation, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/sentury-tire-recrute-de-nouveaux-profils-a-tanger/,
Sanipak ouvre deux opportunités à saisir à Berrechid,Sanipak,Berrechid,Non spécifié,CDI,Bac+5,6 à 10 ans,Non spécifié,Non spécifié,"Communication, Rigueur",https://www.dreamjob.ma/emploi/sanipak-ouvre-deux-opportunites-a-saisir-a-berrechid/,8.0
COFAT recrute un Sales Manager et un Purchasing Manager,COFAT,Kénitra,Automobile,CDI,Non spécifié,3 à 5 ans,ERP,"Français, Anglais","Gestion de projet, Organisation, Rigueur",https://www.dreamjob.ma/emploi/cofat-recrute-un-sales-manager-et-un-purchasing-manager/,4.0
SEBN Maroc recrute à Tanger et Bouknadel 7 profils,SEBN Maroc,Tanger,Automobile,Non spécifié,Bac+2,2 ans,"Autocad, CATIA, Kaizen, Lean, SAP, Six sigma, VBA",Non spécifié,"Autonomie, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-a-tanger-et-bouknadel-7-profils/,2.0
Techniciens de laboratoire recherchés chez COLORADO,Non spécifié,Dar bouazza,"Chimie, Procédés",CDI,Bac+3,2 ans,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/techniciens-de-laboratoire-recherches-chez-colorado/,2.0
Fujikura recrute des stagiaires en traduction à Kénitra,Fujikura,Kénitra,Automobile,Stage,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais",Organisation,https://www.dreamjob.ma/stage/fujikura-recrute-des-stagiaires-en-traduction-a-kenitra/,
PARTHENON ouvre des postes stratégiques à Casablanca,PARTHENON,Casablanca,Construction,CDI,Bac+2,2 à 3 ans,"ERP, Excel",Non spécifié,"Autonomie, Communication, Leadership, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/parthenon-ouvre-des-postes-strategiques-a-casablanca/,2.5
Postes à saisir chez Centrale Danone au Maroc,Non spécifié,Meknès,"Agroalimentaire, Logistique, Procédés",Non spécifié,Bac+5,10 ans,Excel,Non spécifié,"Adaptabilité, Communication, Initiative, Innovation, Leadership, Organisation, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-centrale-danone-au-maroc/,10.0
Techniciens électriques recherchés chez Aeolon à Nador,Non spécifié,Nador,Non spécifié,CDI,Bac+2,4 ans,Automatisme,Non spécifié,"Autonomie, Innovation, Rigueur",https://www.dreamjob.ma/emploi/techniciens-electriques-recherches-chez-aeolon-a-nador/,4.0
SOGEA Maroc recrute 5 profils techniques à Ain Attig,SOGEA Maroc,Skhirat,Construction,CDI,Bac+5,10 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/sogea-maroc-recrute-5-profils-techniques-a-ain-attig/,10.0
"Lear Corporation recrute à Meknès, Rabat, Tanger et Kénitra",Lear Corporation,Kénitra,"Automobile, Logistique, Procédés",Non spécifié,Bac+3,5 ans,"5S, Excel","Français, Anglais","Communication, Flexibilité, Innovation, Organisation, Proactivité, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/lear-corporation-recrute-a-meknes-rabat-tanger-et-kenitra/,5.0
Sentury Tire Morocco recrute en finance et achats,Sentury Tire Morocco,Tanger,Automobile,CDI,Non spécifié,2 à 3 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Innovation, Organisation, Organisation, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/sentury-tire-morocco-recrute-en-finance-et-achats/,2.5
AVANTA Maroc recrute 2 commerciaux dans le Nord et l’Oriental,AVANTA Maroc,Non spécifié,Logistique,Intérim,Bac+2,2 à 4 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur",https://www.dreamjob.ma/emploi/avanta-maroc-recrute-2-commerciaux-dans-le-nord-et-loriental/,3.0
TotalEnergies recrute 4 profils en CDD et CDI,TotalEnergies,Tanger,"Aéronautique, Logistique, Énergie",CDI,Bac+2,3 ans,"ERP, Excel","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/totalenergies-recrute-4-profils-en-cdd-et-cdi/,3.0
Stage PFE et emploi à saisir chez Michoc,Non spécifié,Casablanca,Agroalimentaire,CDI,Bac+2,2 ans,Excel,"Français, Anglais","Autonomie, Autonomie, Organisation, Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/stage-pfe-et-emploi-a-saisir-chez-michoc/,2.0
"Danone recrute à Essaouira, Safi et El Jadida",Danone,El jadida,Agroalimentaire,Non spécifié,Bac+3,7 ans,"ERP, Excel",Non spécifié,"Autonomie, Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/danone-recrute-a-essaouira-safi-et-el-jadida/,7.0
Postulez chez Airbus pour deux opportunités en aéronautique,Non spécifié,Casablanca,"Aéronautique, Logistique",Intérim,Bac+4,2 ans,"APQP, Excel, SAP","Français, Anglais","Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/postulez-chez-airbus-pour-deux-opportunites-en-aeronautique/,2.0
Aeolon Technology cherche 3 profils à Nador,Aeolon Technology,Nador,Procédés,CDI,Bac+3,4 ans,"5S, Kaizen, Lean",Anglais,"Autonomie, Communication, Innovation, Rigueur",https://www.dreamjob.ma/emploi/aeolon-technology-cherche-3-profils-a-nador/,4.0
Structural Aerospace Morocco cherche des opérateurs motivés,Structural Aerospace Morocco,Nouaceur,"Aéronautique, Construction",Stage,Bac+2,Non spécifié,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/emploi/structural-aerospace-morocco-cherche-des-operateurs-motives/,
Michoc recrute un Acheteur et un Responsable Supply Chain,Michoc,Casablanca,"Agroalimentaire, Logistique",CDI,Bac+3,2 ans,Non spécifié,"Français, Anglais","Autonomie, Communication, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/michoc-recrute-un-acheteur-et-un-responsable-supply-chain/,2.0
"Lear recrute 7 profils à Meknès, Kénitra, Tanger et Rabat",Lear,Kénitra,"Automobile, Logistique",Non spécifié,Bac+5,1 an,"APQP, Excel, PPAP, VBA","Français, Anglais","Communication, Innovation, Organisation, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/lear-recrute-7-profils-a-meknes-kenitra-tanger-et-rabat/,1.0
Offres d’emploi chez COFICAB à Kénitra et Tanger,Non spécifié,Kénitra,"Automobile, Logistique",Non spécifié,Bac+2,2 ans,Non spécifié,Français,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-chez-coficab-a-kenitra-et-tanger-2/,2.0
Nouveaux postes disponibles chez Baomac à Tanger,Non spécifié,Tanger,Procédés,Non spécifié,Bac+2,1 à 2 ans,"5S, AMDEC",Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/nouveaux-postes-disponibles-chez-baomac-a-tanger/,1.5
Opportunités de carrière chez Airbus Atlantic Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique, Logistique",Non spécifié,Bac+5,2 ans,"APQP, Excel, SAP","Français, Anglais","Communication, Innovation, Organisation",https://www.dreamjob.ma/emploi/opportunites-de-carriere-chez-airbus-atlantic-maroc/,2.0
TE Connectivity recrute 6 profils à Tanger,TE Connectivity,Tanger,"Logistique, Procédés, Énergie",Non spécifié,Bac+2,2 ans,"Automatisme, CATIA, Creo, ERP, Excel, Lean, Lean manufacturing, SAP, SOLIDWORKS, Six sigma","Français, Anglais",Travail en équipe,https://www.dreamjob.ma/emploi/te-connectivity-recrute-6-profils-a-tanger/,2.0
Suprajit Morocco recrute et propose des stages à Tanger,Suprajit Morocco,Tanger,Logistique,Stage,Bac+2,Non spécifié,"Excel, SAP","Français, Anglais","Communication, Leadership, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/suprajit-morocco-recrute-et-propose-des-stages-a-tanger/,
6 Opportunités de carrière ouvertes chez TotalEnergies,Non spécifié,Tanger,Énergie,CDI,Bac+2,3 ans,"Automatisme, Excel",Français,"Communication, Innovation, Organisation, Polyvalence",https://www.dreamjob.ma/emploi/6-opportunites-de-carriere-ouvertes-chez-totalenergies/,3.0
Nouvelle vague d’opportunités chez Proma Industrie Kénitra,Non spécifié,Kénitra,"Automobile, Chimie, Logistique, Procédés",Stage,Bac+2,2 à 3 ans,"AMDEC, SAP, SPC",Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/nouvelle-vague-dopportunites-chez-proma-industrie-kenitra/,2.5
3 opportunités d’emploi disponibles chez SCIF à Casablanca,Non spécifié,Casablanca,"Construction, Ferroviaire",CDI,Bac+2,4 ans,"Autocad, ERP, SOLIDWORKS",Anglais,"Relationnel, Rigueur",https://www.dreamjob.ma/emploi/3-opportunites-demploi-disponibles-chez-scif-a-casablanca/,4.0
L’ANAPEC annonce 48 postes dans le secteur du textile,Non spécifié,Fnideq,Logistique,CDD,Bac+3,1 an,Non spécifié,Français,"Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/lanapec-annonce-48-postes-dans-le-secteur-du-textile/,1.0
Opportunités à saisir chez Structural Aerospace Morocco,Non spécifié,Nouaceur,"Aéronautique, Logistique",Intérim,Non spécifié,0 à 2 ans,Non spécifié,Anglais,"Autonomie, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/opportunites-a-saisir-chez-structural-aerospace-morocco/,1.0
Postes à saisir chez Aiguebelle dans l’industrie,Non spécifié,Casablanca,"Logistique, Procédés",CDI,Bac+2,2 à 5 ans,Non spécifié,"Français, Anglais","Communication, Gestion de projet, Leadership, Organisation, Travail en équipe",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-aiguebelle-dans-lindustrie/,3.5
Recrutement Sothema pour plusieurs postes stratégiques,Non spécifié,Bouskoura,"Pharmaceutique, Procédés",Non spécifié,Bac+5,10 ans,"Lean, Six sigma",Non spécifié,"Communication, Gestion de projet, Leadership, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/recrutement-sothema-pour-plusieurs-postes-strategiques/,10.0
Opportunités chez TotalEnergies pour profils Bac+2 à Bac+5 à Tanger,Non spécifié,Tanger,Énergie,CDI,Bac+2,3 ans,Excel,Français,"Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/opportunites-chez-totalenergies-pour-profils-bac2-a-bac5-a-tanger/,3.0
SEWS CABIND Maroc recrute des chefs d’équipe industriels,SEWS CABIND Maroc,Berrechid,Automobile,Non spécifié,Bac+2,2 ans,Non spécifié,Non spécifié,"Organisation, Polyvalence, Relationnel, Rigueur, Résolution de problèmes, Travail en équipe",https://www.dreamjob.ma/emploi/sews-cabind-maroc-recrute-des-chefs-dequipe-industriels/,2.0
SEBN Maroc recrute plusieurs profils industriels dès maintenant,SEBN Maroc,Salé,"Automobile, Logistique",Non spécifié,Bac+2,7 ans,Non spécifié,Non spécifié,"Leadership, Rigueur",https://www.dreamjob.ma/emploi/sebn-maroc-recrute-plusieurs-profils-industriels-des-maintenant/,7.0
Cooper Pharma lance un recrutement stratégique,Non spécifié,Non spécifié,Pharmaceutique,CDI,Bac+5,2 ans,Non spécifié,"Français, Anglais","Créativité, Leadership, Rigueur",https://www.dreamjob.ma/emploi/cooper-pharma-lance-un-recrutement-strategique/,2.0
Bottu lance une campagne de recrutement stratégique,Non spécifié,Non spécifié,Pharmaceutique,CDI,Bac+5,7 ans,Non spécifié,Anglais,"Communication, Créativité, Organisation, Relationnel",https://www.dreamjob.ma/emploi/bottu-lance-une-campagne-de-recrutement-strategique/,7.0
Opportunités aéronautiques chez Airbus Atlantic Maroc,Non spécifié,Casablanca,"Automobile, Aéronautique",CDI,Bac+5,5 ans,Lean,Non spécifié,"Autonomie, Innovation, Leadership, Rigueur",https://www.dreamjob.ma/emploi/opportunites-aeronautiques-chez-airbus-atlantic-maroc/,5.0
Postes à saisir chez Sun Pharma dès maintenant,Non spécifié,Bouskoura,Pharmaceutique,CDI,Non spécifié,2 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Innovation",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-sun-pharma-des-maintenant/,2.0
De nombreuses opportunités chez Mafoder Group à saisir,Non spécifié,Casablanca,Construction,CDI,Bac+2,9 ans,"ERP, SQL","Français, Arabe","Autonomie, Autonomie, Force de proposition, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/de-nombreuses-opportunites-chez-mafoder-group-a-saisir/,9.0
WINXO ouvre de nouveaux postes à Casablanca,WINXO,Casablanca,Non spécifié,CDI,Bac+4,5 ans,"Excel, SAP",Non spécifié,"Autonomie, Communication, Initiative, Organisation, Rigueur",https://www.dreamjob.ma/emploi/winxo-ouvre-de-nouveaux-postes-a-casablanca/,5.0
"Nouvelle opportunité à Tanger, 5 postes à saisir chez Aptiv",Non spécifié,Tanger,"Automobile, Logistique",CDI,Bac+5,3 à 5 ans,"AMDEC, CAO, Excel, SAP","Français, Anglais","Communication, Gestion de projet",https://www.dreamjob.ma/emploi/nouvelle-opportunite-a-tanger-5-postes-a-saisir-chez-aptiv/,4.0
SCIF ouvre des postes de techniciens spécialisés à Ain Sebaa,SCIF,Casablanca,"Construction, Procédés",CDI,Non spécifié,2 ans,ERP,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/scif-ouvre-des-postes-de-techniciens-specialises-a-ain-sebaa/,2.0
Figeac Aéro Maroc recrute des Opérateurs Tournage,Figeac Aéro Maroc,Nouaceur,Aéronautique,CDI,Bac+2,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/figeac-aero-maroc-recrute-des-operateurs-tournage/,
COFICAB ouvre plusieurs postes à Kénitra dès maintenant,COFICAB,Kénitra,Automobile,CDI,Bac+2,1 à 3 ans,SPC,Anglais,Communication,https://www.dreamjob.ma/emploi/coficab-ouvre-plusieurs-postes-a-kenitra-des-maintenant/,2.0
Nouvelles Opportunités à saisir chez Fujikura à Kénitra,Non spécifié,Kénitra,Automobile,CDI,Bac+2,2 à 5 ans,Non spécifié,Anglais,"Communication, Gestion de projet, Leadership, Rigueur, Réactivité, Résolution de problèmes",https://www.dreamjob.ma/emploi/nouvelles-opportunites-a-saisir-chez-fujikura-a-kenitra/,3.5
Postes ouverts à Nouaceur chez Structural Aerospace Morocco,Non spécifié,Nouaceur,"Aéronautique, Construction",CDI,Bac+2,Non spécifié,ERP,Non spécifié,"Autonomie, Communication, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/postes-ouverts-a-nouaceur-chez-structural-aerospace-morocco/,
Postes de conducteurs machine à pourvoir chez Centrale Danone,Non spécifié,Salé,"Agroalimentaire, Logistique",Non spécifié,Bac+2,Non spécifié,"5S, Excel",Français,"Innovation, Organisation, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/postes-de-conducteurs-machine-a-pourvoir-chez-centrale-danone/,
Recrutement Aeolon Technology CDI et stages à Nador,Non spécifié,Nador,Énergie,CDI,Bac+3,4 ans,Non spécifié,Non spécifié,"Autonomie, Communication, Innovation, Organisation, Proactivité, Rigueur, Travail en équipe",https://www.dreamjob.ma/emploi/recrutement-aeolon-technology-cdi-et-stages-a-nador/,4.0
SOMACOS recrute à Meknès 17 profils en CDI,SOMACOS,Meknès,"Plasturgie, Procédés",CDI,Bac+2,5 à 10 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/somacos-recrute-a-meknes-17-profils-en-cdi/,7.5
SEBN-MA ouvre plusieurs postes d’agents qualité à Tanger,SEBN-MA,Tanger,Automobile,CDI,Bac+2,Non spécifié,Non spécifié,"Français, Anglais","Rigueur, Réactivité, Travail en équipe",https://www.dreamjob.ma/emploi/sebn-ma-ouvre-plusieurs-postes-dagents-qualite-a-tanger/,
