Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
SOMADIR recrute: Plusieurs opportunités à Casablanca et El Jadida,SOMADIR,Casablanca,"Agroalimentaire, Procédés",Non spécifié,"Bac+2, bac+3",3 ans,Non spécifié,Non spécifié,Initiative,https://www.dreamjob.ma/emploi/somadir-recrute-plusieurs-opportunites-a-casablanca-et-el-jadida/
Concours ONCF 2025: 16 postes clés ouverts dans divers domaines,Non spécifié,Non spécifié,"Ferroviaire, Énergie",Non spécifié,Bac+5,5 ans,Ms project,Non spécifié,Communication,https://www.dreamjob.ma/emploi-public/concours-oncf-2025-16-postes-cles-ouverts-dans-divers-domaines/
Concours de Recrutement ONDA 2025 (20 Postes),Non spécifié,Non spécifié,"Aéronautique, Logistique",Non spécifié,Non spécifié,5 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-onda-2025-20-postes/
Concours de Recrutement BIOPHARMA 2025 (12 Postes),Non spécifié,Non spécifié,Procédés,Non spécifié,Non spécifié,5 ans,Non spécifié,"Français, Anglais, Arabe","Communication, Initiative",https://www.dreamjob.ma/emploi-public/concours-de-recrutement-biopharma-2025-12-postes/
"12 opportunités de stage rémunéré et pré-embauche à Casablanca, Tanger et Kenitra",Non spécifié,Casablanca,Non spécifié,Stage,"Bac+2, bac+5",Non spécifié,Non spécifié,Anglais,"Autonomie, Communication, Créativité, Gestion de projet, Organisation, Rigueur",https://www.dreamjob.ma/stage/12-opportunites-de-stage-remunere-et-pre-embauche-a-casablanca-tanger-et-kenitra/
SONARGES recrute 27 postes à Tanger et Rabat: Postulez avant le 5 février 2025,SONARGES,Tanger,Construction,Non spécifié,"Bac+2, bac+3, bac+5",7 ans,Non spécifié,Non spécifié,"Communication, Gestion de projet, Innovation, Organisation",https://www.dreamjob.ma/emploi-public/sonarges-recrute-27-postes-a-tanger-et-rabat-postulez-avant-le-5-fevrier-2025/
Concours Ministère de l’Equipement et de l’Eau 2025 (250 Postes),Non spécifié,Non spécifié,Logistique,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-ministere-de-lequipement-et-de-leau-2025/
Stellantis Renforce ses Équipes avec des Postes d’Investigateurs Retoucheurs,Non spécifié,Non spécifié,Automobile,Non spécifié,Bac+2,3 ans,Non spécifié,Non spécifié,"Autonome, Innovation, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/stellantis-renforce-ses-equipes-avec-des-postes-dinvestigateurs-retoucheurs/
Recrutement SOLSIF Maroc: Électromécaniciens et Tourneurs Confirmés recherchés,Non spécifié,Non spécifié,"Btp, Construction",Non spécifié,Non spécifié,60 ans,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/recrutement-solsif-maroc-electromecaniciens-et-tourneurs-confirmes-recherches/
Travailler chez SCIF: Tous les profils recherchés en 2025,Non spécifié,Non spécifié,"Construction, Ferroviaire",CDI,"Bac+3, bac+4, bac+5",75 ans,Non spécifié,Anglais,Leadership,https://www.dreamjob.ma/emploi/travailler-chez-scif-tous-les-profils-recherches-en-2025/
Concours de Recrutement Ministère de la Transition Energétique 2026 (60 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ministere-de-la-transition-energetique-2026-60-postes/
Concours de Recrutement Ministère de la Transition Energétique 2026 (20 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-ministere-de-la-transition-energetique-2026-20-postes/
Résultats Concours Ministère de la Transition Energétique 2025 (40 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/resultats-concours-ministere-de-la-transition-energetique-2025-40-postes/
Liste des Convoqués Concours Ministère de la Transition Energétique 2025 (40 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-ministere-de-la-transition-energetique-2025-40-postes/
Concours Ministère de la Transition Energétique 2025 (40 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-ministere-de-la-transition-energetique-2025-40-postes/
Emploi ingénieur industriel: participez à la transition énergétique chez TotalEnergies,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais, Arabe","Autonomie, Innovation, Réactivité",https://www.dreamjob.ma/emploi/emploi-ingenieur-industriel-participez-a-la-transition-energetique-chez-totalenergies/
Concours Ministère de la Transition Energétique 2025 (2 Postes),Non spécifié,Marrakech,Non spécifié,Non spécifié,Non spécifié,18 à 40 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-ministere-de-la-transition-energetique-2025/
Liste des Convoqués Oral Concours Ministère de la Transition Energétique 2024 (38 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/liste-des-convoques-oral-concours-ministere-de-la-transition-energetique-2024-38-postes/
Liste des Convoqués Concours Ministère de la Transition Energétique 2024 (38 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/liste-des-convoques-concours-ministere-de-la-transition-energetique-2024-38-postes/
Concours Ministère de la Transition Energétique 2024 (38 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-ministere-de-la-transition-energetique-2024-38-postes/
Climholia SAS Recrute: Postulez en tant qu’Auditeur Énergétique,Climholia SAS,Marrakech,Énergie,Non spécifié,Non spécifié,2 à 5 ans,Autocad,Non spécifié,Communication,https://www.dreamjob.ma/emploi/climholia-sas-recrute-postulez-en-tant-quauditeur-energetique/
Global Thermique et Energétique Accueille de Nouveaux Talents,Non spécifié,Casablanca,Construction,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/global-thermique-et-energetique-accueille-de-nouveaux-talents/
Concours Ministère de la Transition Energétique 2024 (5 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi-public/concours-ministere-de-la-transition-energetique-2024/
NISFAT recrute des Ingénieurs Génie Energétique et Thermique,NISFAT,Kénitra,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Communication, Innovation, Leadership, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/nisfat-recrute-ingenieurs-genie-energetique-thermique/
Résultats Concours Ministère de la Transition Energétique 2023 (30 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi-public/resultats-concours-ministere-de-la-transition-energetique-2023/
Concours Ministère de la Transition Energétique 2023 (30 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi-public/concours-ministere-transition-energetique-2023/
Concours Ministère de la Transition Energétique 2022 (4 Postes),Non spécifié,Non spécifié,"Minier, Énergie",Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi-public/concours-ministere-de-la-transition-energetique-2022/
Concours de Recrutement Nador West Med 2026 pour (2 Postes),Non spécifié,Nador,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-nador-west-med-2026-pour-2-postes/
Intelcia Tech recherche des ingénieurs en génie électrique et énergie,Non spécifié,Non spécifié,Énergie,CDD,Non spécifié,20 ans,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/intelcia-tech-recherche-des-ingenieurs-en-genie-electrique-et-energie/
Déposez votre Candidature Spontanée chez Groupe CDG,Non spécifié,Non spécifié,Construction,Non spécifié,Non spécifié,60 ans,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi/groupe-cdg-candidature-spontanee/
Inscription Concours IFMEREE 2026/2027,Non spécifié,Non spécifié,Énergie,Non spécifié,Non spécifié,30 ans,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/orientation/inscription-concours-ifmeree-2026-2027/
Nouvelles opportunités chez Managem à Taroudant et Marrakech,Non spécifié,Marrakech,"Chimie, Minier, Métallurgie, Procédés",Non spécifié,Non spécifié,90 ans,Non spécifié,Non spécifié,"Communication, Gestion de projet, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-managem-a-taroudant-et-marrakech/
4 opportunités à saisir chez Gotion Power Morocco,Non spécifié,Non spécifié,Énergie,Non spécifié,"Bac+3, bac+4, bac+5",2 ans,Non spécifié,Non spécifié,"Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/4-opportunites-a-saisir-chez-gotion-power-morocco/
COVEC recrute Plusieurs Profils à Casablanca,COVEC,Casablanca,"Btp, Construction",CDI,"Bac+3, bac+4",5 à 10 ans,Non spécifié,"Français, Anglais, Arabe","Autonome, Communication, Organisation, Relationnel, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/covec-recrute-plusieurs-profils/
Nouvelles opportunités chez Leyton à Casablanca,Non spécifié,Casablanca,Énergie,Non spécifié,Non spécifié,25 ans,Non spécifié,Français,"Adaptabilité, Communication, Initiative, Innovation, Relationnel, Réactivité",https://www.dreamjob.ma/emploi/nouvelles-opportunites-chez-leyton-a-casablanca/
Offres d’emploi chez EM ÉNERGIE en électricité,Non spécifié,Kénitra,Énergie,CDI,Bac+3,1 à 3 ans,Non spécifié,Non spécifié,"Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/offres-demploi-chez-em-energie-en-electricite/
Concours de Recrutement Nador West Med 2026 (3 Postes),Non spécifié,Nador,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-nador-west-med-2026-3-postes/
"4 postes à pourvoir chez Lamalif Group, postulez dès maintenant",Non spécifié,Marrakech,Non spécifié,CDI,Non spécifié,4 ans,Non spécifié,Non spécifié,Créativité,https://www.dreamjob.ma/emploi/4-postes-a-pourvoir-chez-lamalif-group-postulez-des-maintenant/
Postes HSE à saisir chez EM ÉNERGIE,Non spécifié,Casablanca,Énergie,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Organisation, Relationnel, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-hse-a-saisir-chez-em-energie/
Chargés d’Affaires et autres profils recherchés chez EM ENERGIE,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/charges-daffaires-et-autres-profils-recherches-chez-em-energie/
Nouvelles offres d’emploi chez Sulzer à Casablanca,Non spécifié,Casablanca,Procédés,CDI,"Bac+2, bac+5",5 ans,Ms project,"Français, Anglais","Autonomie, Communication, Gestion de projet, Initiative, Leadership, Organisation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/nouvelles-offres-demploi-chez-sulzer-a-casablanca/
Postes à saisir chez Gotion Power Morocco dans les achats,Non spécifié,Kénitra,"Logistique, Énergie",Non spécifié,Bac+5,Non spécifié,Non spécifié,Anglais,"Autonomie, Communication, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-gotion-power-morocco-dans-les-achats/
Ingénieurs et Chargés d’Affaires recherchés chez EM ENERGIE,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+5,3 à 6 ans,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/ingenieurs-et-charges-daffaires-recherches-chez-em-energie/
Postes à saisir chez Yazaki pour profils expérimentés,Non spécifié,Non spécifié,"Automobile, Btp",Non spécifié,Non spécifié,3 à 5 ans,"Python, SAP, SQL","Français, Anglais","Communication, Innovation, Organisation, Rigueur, Résolution de problèmes",https://www.dreamjob.ma/emploi/postes-a-saisir-chez-yazaki-pour-profils-experimentes/
EM ENERGIE lance une campagne de recrutement en électricité,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+3,3 à 7 ans,Non spécifié,Non spécifié,"Organisation, Organisé, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/em-energie-lance-une-campagne-de-recrutement-en-electricite/
LICORNE Group recherche plusieurs formateurs,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Innovation, Organisation",https://www.dreamjob.ma/emploi/licorne-group-recherche-plusieurs-formateurs/
Deux opportunités à saisir chez Ciments du Maroc,Non spécifié,Casablanca,"Construction, Procédés",CDI,Bac+5,5 ans,SAP,"Français, Anglais, Arabe","Autonome, Autonomie, Communication, Leadership, Organisation",https://www.dreamjob.ma/emploi/deux-opportunites-a-saisir-chez-ciments-du-maroc/
SGTM ouvre 3 profils à Casablanca dès maintenant,SGTM,Casablanca,"Btp, Construction, Logistique",Non spécifié,"Bac+2, bac+3, bac+5",3 à 5 ans,SAP,"Français, Anglais","Autonomie, Leadership, Organisation, Polyvalence, Rigueur",https://www.dreamjob.ma/emploi/sgtm-ouvre-3-profils-a-casablanca-des-maintenant/
"CEC recrute un Chef d’Équipe, un Commercial et une Assistante",CEC,Casablanca,Minier,CDI,"Bac+2, bac+3, bac+5",Non spécifié,Automatisme,"Français, Anglais","Autonomie, Initiative, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/cec-recrute-un-chef-dequipe-un-commercial-et-une-assistante/
Maroc Climate and Security ouvre 2 opportunités à saisir,Maroc Climate and Security,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais, English","Autonome, Communication, Créatif, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/maroc-climate-and-security-ouvre-2-opportunites-a-saisir/
4 postes ouverts chez Maroc Climate and Security,Non spécifié,Casablanca,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Autocad,"Français, Anglais, English","Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/4-postes-ouverts-chez-maroc-climate-and-security/
Concours de Recrutement Nador West Med 2026 (6 Postes),Non spécifié,Nador,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-nador-west-med-2026-6-postes/
"Extreme Agency recrute plusieurs postes de direction BTP, promotion immobilière et énergies renouvelables",Extreme Agency,Non spécifié,"Btp, Construction",Non spécifié,Bac+5,10 ans,Non spécifié,"Français, Anglais","Gestion de projet, Leadership, Organisation, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/extreme-agency-recrute-plusieurs-postes-de-direction-btp-promotion-immobiliere-energies-renouvelables/
Opportunités chez LICORNE Group en énergie et assistanat,Non spécifié,Bouskoura,Énergie,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Communication, Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/opportunites-chez-licorne-group-en-energie-et-assistanat/
Profils recherchés en Back Office bilingue chez Maroc Climate and Security,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Français, Anglais","Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/profils-recherches-en-back-office-bilingue-chez-maroc-climate-and-security/
7 Nouvelles opportunités chez EM ENERGIE dès maintenant,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Organisation, Organisé, Rigueur",https://www.dreamjob.ma/emploi/7-nouvelles-opportunites-chez-em-energie-des-maintenant/
Yazaki Meknès embauche des profils Bac+2 et Bac+3,Non spécifié,Meknès,Non spécifié,CDI,"Bac+2, bac+3",Non spécifié,Non spécifié,Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/a-la-une/yazaki-meknes-embauche-des-profils-bac2-et-bac3/
Postes de chargés d’études ouverts chez EM ENERGIE à Tanger,Non spécifié,Tanger,Non spécifié,Non spécifié,Bac+3,2 ans,Non spécifié,Non spécifié,"Organisation, Travailler en équipe",https://www.dreamjob.ma/emploi/postes-de-charges-detudes-ouverts-chez-em-energie-a-tanger/
EM ENERGIE propose des postes de techniciens électricité à Tanger,Non spécifié,Tanger,Non spécifié,Non spécifié,Bac+3,2 ans,Non spécifié,Non spécifié,"Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/em-energie-propose-des-postes-de-techniciens-electricite-a-tanger/
VENTEC S.A. recrute 3 profils à Casablanca,VENTEC S.A.,Casablanca,Non spécifié,Non spécifié,"Bac+3, bac+5",2 ans,Non spécifié,Non spécifié,"Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/ventec-s-a-recrute-3-profils-a-casablanca/
EM ENERGIE recrute des Animateurs HSE à Fès,EM ENERGIE,Fès,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Communication, Organisation, Rigueur, Réactivité, Travailler en équipe",https://www.dreamjob.ma/emploi/em-energie-recrute-des-animateurs-hse-a-fes/
Concours de Recrutement AMEE 2026 (2 Postes),Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-amee-2026-2-postes/
Offres d’emploi chez EM ENERGIE avec mobilité nationale,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,"Leadership, Organisation",https://www.dreamjob.ma/emploi/offres-demploi-chez-em-energie-avec-mobilite-nationale/
2 opportunités ouvertes chez TotalEnergies dès maintenant,Non spécifié,Non spécifié,"Chimie, Énergie",CDI,"Bac+2, bac+3",5 ans,Excel,"Français, Anglais, Arabe","Autonomie, Communication, Force de proposition, Innovation, Organisation, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/2-opportunites-ouvertes-chez-totalenergies-des-maintenant/
Senior Consultants recherchés chez DOOC S.A Consulting,Non spécifié,Casablanca,Procédés,CDI,Non spécifié,10 ans,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/senior-consultants-recherches-chez-dooc-s-a-consulting/
6 postes ouverts chez EM ENERGIE à Casablanca et Jorf Lasfar,Non spécifié,Jorf Lasfar,Logistique,CDI,"Bac+2, bac+3, bac+5",5 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Organisé, Rigueur",https://www.dreamjob.ma/emploi/6-postes-ouverts-chez-em-energie-a-casablanca-et-jorf-lasfar/
TotalEnergies ouvre son programme de recrutement jeunes diplômés,TotalEnergies,Casablanca,"Construction, Énergie",Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,Communication,https://www.dreamjob.ma/emploi/totalenergies-ouvre-son-programme-de-recrutement-jeunes-diplomes/
S’orienter vers les métiers de la décoration: un secteur en pleine mutation,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Modélisation,Non spécifié,"Créatif, Créativité, Gestion de projet, Innovation, Organisation, Rigueur",https://www.dreamjob.ma/a-la-une/sorienter-vers-les-metiers-de-la-decoration-un-secteur-en-pleine-mutation/
Chargées ADV bilingues recherchées à Casablanca,Non spécifié,Casablanca,Non spécifié,Non spécifié,Bac+2,2 ans,"ERP, SAP","Français, Anglais","Organisation, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/chargees-adv-bilingues-recherchees-a-casablanca/
7 Postes à saisir chez EM ENERGIE,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/7-postes-a-saisir-chez-em-energie/
TAQA Morocco organise une journée de recrutement à portée nationale,Non spécifié,Non spécifié,Énergie,CDI,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Rigueur,https://www.dreamjob.ma/journees-de-recrutement/taqa-morocco-organise-une-journee-de-recrutement-a-portee-nationale/
Offres d’emploi back office achats chez Maroc Climate and Security,Non spécifié,Non spécifié,Logistique,CDI,Bac+3,Non spécifié,Excel,"Français, Anglais","Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-back-office-achats-chez-maroc-climate-and-security/
Postes ouverts en ingénierie fluides chez SCIEB,Non spécifié,Non spécifié,Énergie,CDI,Bac+5,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/postes-ouverts-en-ingenierie-fluides-chez-scieb/
P PRIME ouvre plusieurs opportunités en CDI et en stage,P PRIME,Non spécifié,"Btp, Logistique",CDI,Non spécifié,Non spécifié,Autocad,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/p-prime-ouvre-plusieurs-opportunites-en-cdi-et-en-stage/
Novec recrute 66 profils pour ses projets au Maroc,Novec,Dakhla,"Btp, Énergie",CDI,"Bac+2, bac+5",7 ans,"Autocad, Excel, Modélisation",Non spécifié,"Innovation, Organisation, Rigueur",https://www.dreamjob.ma/emploi/novec-recrute-66-profils-pour-ses-projets-au-maroc/
Recrutement massif chez CFG Bank dans plusieurs métiers,Non spécifié,Casablanca,Non spécifié,CDI,"Bac+2, bac+3, bac+5",4 ans,Non spécifié,Non spécifié,"Autonomie, Organisation, Proactivité, Relationnel, Rigueur, Réactivité",https://www.dreamjob.ma/emploi/recrutement-massif-chez-cfg-bank-dans-plusieurs-metiers/
Programme Young Graduate ouvert chez TotalEnergies Maroc,Non spécifié,Casablanca,"Construction, Énergie",Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,Organisation,https://www.dreamjob.ma/emploi/programme-young-graduate-ouvert-chez-totalenergies-maroc/
Ventec renforce ses équipes techniques à Casablanca,Non spécifié,Casablanca,Non spécifié,CDI,Bac+5,Non spécifié,"Autocad, ERP, Excel",Non spécifié,"Autonomie, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/ventec-renforce-ses-equipes-techniques-a-casablanca/
"LUSEO recrute plusieurs profils à Tanger, Fès et Dakhla",LUSEO,Tanger,Non spécifié,CDI,"Bac+2, bac+3, bac+5",2 à 3 ans,Modélisation,Non spécifié,"Autonomie, Communication, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/luseo-recrute-plusieurs-profils-a-tanger-fes-et-dakhla/
Offres d’emploi BTP chez SGTM à saisir dès maintenant,Non spécifié,Casablanca,"Btp, Ferroviaire",CDI,"Bac+2, bac+3",8 à 10 ans,Non spécifié,Non spécifié,"Autonomie, Leadership, Organisation, Rigueur",https://www.dreamjob.ma/emploi/offres-demploi-btp-chez-sgtm-a-saisir-des-maintenant/
Stage PFE et emplois à saisir chez SGTM,Non spécifié,Bouskoura,"Btp, Ferroviaire, Logistique",CDI,"Bac+2, bac+5",8 à 10 ans,"Autocad, Excel, SAP",Non spécifié,"Communication, Leadership, Organisation, Proactivité, Relationnel, Rigueur",https://www.dreamjob.ma/emploi/stage-pfe-et-emplois-a-saisir-chez-sgtm/
Stages de fin d’études à saisir chez VINCI Energies à Marrakech,Non spécifié,Marrakech,Énergie,Stage,Bac+5,Non spécifié,Non spécifié,Non spécifié,"Autonomie, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/stages-de-fin-detudes-a-saisir-chez-vinci-energies-a-marrakech/
Opportunités professionnelles à saisir chez NOMAC,Non spécifié,Ouarzazate,Énergie,Non spécifié,Non spécifié,2 à 10 ans,"ERP, GMAO, SAP","Français, Anglais","Leadership, Organisation, Résolution de problèmes, Travailler en équipe",https://www.dreamjob.ma/emploi/opportunites-professionnelles-a-saisir-chez-nomac/
VINCI Energies Maroc recrute des stagiaires PFE Bac+5,VINCI Energies Maroc,Non spécifié,Énergie,Stage,Bac+5,Non spécifié,Automatisme,Non spécifié,"Autonomie, Initiative, Organisation, Relationnel, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/vinci-energies-maroc-recrute-des-stagiaires-pfe-bac5/
Emploi Public 2026: 36895 Postes Budgétaires Créés,Non spécifié,Non spécifié,"Logistique, Recherche scientifique",Non spécifié,Non spécifié,2026 an,Non spécifié,Non spécifié,"Communication, Innovation",https://www.dreamjob.ma/news/emploi-public-2026-36895-postes-budgetaires-crees/
Offres d’emploi chez Ventec à Casablanca en CDI,Non spécifié,Casablanca,Non spécifié,CDI,"Bac+3, bac+5",2 ans,Autocad,Non spécifié,"Autonomie, Organisation, Rigueur, Travailler en équipe",https://www.dreamjob.ma/emploi/offres-demploi-chez-ventec-a-casablanca-en-cdi/
Concours de Recrutement Nador West Med 2026 (5 Pilotes de Port),Non spécifié,Nador,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,https://www.dreamjob.ma/emploi-public/concours-de-recrutement-nador-west-med-2026-5-pilotes-de-port/
TotalEnergies lance son programme jeunes diplômés au Maroc,Non spécifié,Casablanca,Construction,Non spécifié,Bac+5,Non spécifié,Non spécifié,Non spécifié,"Organisation, Rigueur",https://www.dreamjob.ma/emploi/totalenergies-lance-son-programme-jeunes-diplomes-au-maroc/
AXA Services Maroc ouvre plusieurs stages PFE pour 2026,AXA Services Maroc,Rabat,Logistique,Stage,Bac+5,20 ans,Non spécifié,Non spécifié,"Relationnel, Rigueur, Travailler en équipe",https://www.dreamjob.ma/stage/axa-services-maroc-ouvre-plusieurs-stages-pfe-pour-2026/
5 Opportunités CDI à saisir chez International Paper Maroc,Non spécifié,Casablanca,"Construction, Procédés",CDI,"Bac+2, bac+3, bac+5",2 ans,"ERP, Excel",Anglais,Non spécifié,https://www.dreamjob.ma/emploi/5-opportunites-cdi-a-saisir-chez-international-paper-maroc/
Postes d’Agents Commerciaux Béton disponibles à Tanger et Casablanca,Non spécifié,Casablanca,"Btp, Construction",CDI,"Bac+2, bac+3",5 ans,Non spécifié,Non spécifié,"Innovation, Réactivité",https://www.dreamjob.ma/emploi/postes-dagents-commerciaux-beton-disponibles-a-tanger-et-casablanca/
MIF Maroc recrute des Chargés d’Affaires dès maintenant,MIF Maroc,Non spécifié,Non spécifié,Non spécifié,Bac+5,40 ans,Non spécifié,Non spécifié,"Autonome, Autonomie, Communication, Organisation, Rigueur",https://www.dreamjob.ma/emploi/mif-maroc-recrute-des-charges-daffaires-des-maintenant/
